front,back
"[$]Si \; &nbsp;a &nbsp;\; et \; b&nbsp;\not\equiv \frac{\pi}{2} [\pi] &nbsp;\;et \; tan(a)=tan(b)[/$],&nbsp;<div><br /></div><div>relation entre a et b ?&nbsp;</div>",[$]&nbsp;a \equiv b [2\pi][/$]
"<img src=""render (44).png"" />","<img src=""render (45).png"" />"
"<img src=""render (47).png"" />","<img src=""render (46).png"" />"
"Soit I un intervalle ouvert de&nbsp;<img src=""render (48).png"" />&nbsp;et&nbsp;<img src=""render (49).png"" />.<div>f est dérivable en&nbsp;<img src=""render (50).png"" />&nbsp;si la limite suivante existe et est définie: ...</div>","<div><br /><br /><img src=""render (51).png"" /></div>"
sin',cos
cos',-sin
tan'(x),"<div><img src=""render (52).png"" /></div><div><br /></div><img src=""render (134).png"" />"
Re(z) en fonction de z et [$]\overline{z}[/$] ?,[$]\frac{z+ \overline{z}}{2}[/$]
Im(z) en fonction de z et [$]\overline{z}[/$],[$]&nbsp;\frac{z - \overline{z} }{2i}[/$]
<u>Définition du module d'un nombre complexe</u><div><br /></div><div>[$]| z | = {{c1::\sqrt{z \overline{z} } }}[/$]</div>,
"[$]\forall (z_1, z_2) \in \mathbb{C}^2[/$], &nbsp;z<sub>1</sub>&nbsp;et z<sub>2 </sub>sont positivement liés [$]\Leftrightarrow {{c1:: \exists \lambda \in \mathbb{R}_+, \; z_1 = \lambda z_2}}[/$]",
"<div>[$]\forall (z_1, z_2) \in \mathbb{C}^2, \; |z_1 + z_2| = |z_1| + |z_2| \; \Leftrightarrow[/$]&nbsp;{{c1::z<sub>1</sub>&nbsp;et z<sub>2&nbsp;</sub>sont positivement liés.}}</div>",
"<div>[$]\forall (\theta_1, \theta_2) \in \mathbb{R}^2, \; e^{i \theta_1} =&nbsp;e^{i \theta_2} \; \Leftrightarrow \; {{c1::\theta_1 \equiv \theta_2 [2 \pi]}}[/$]</div>",
"<u>Formules d'Euler&nbsp;</u><div><br /></div><div>[$]\forall \theta \in \mathbb{R}, \; cos(\theta) = {{c1::\frac{ e^{i\theta} + e^{-i \theta} }{2} }}[/$]</div>",
"[$]\forall x \in \mathbb{R}, \; x \not\equiv \pi [2\pi], \; t = tan(\frac{x}{2})[/$]<div><br /></div><div>[$]cos(x) = {{c1::\frac{1-t^2}{1+t^2} }}[/$]</div>",
"[$]\forall x \in \mathbb{R}, \; x \not\equiv \pi [2\pi], \; t = tan(\frac{x}{2})[/$]<div><br /></div><div>[$]sin (x) = {{c1::\frac{2t}{1+t^2} }}[/$]</div>",
"[$]\forall x \in \mathbb{R}, \; x \not\equiv \pi [2\pi] \; et \; x \not\equiv \frac{\pi}{2} [2\pi]&nbsp;, \; t = tan(\frac{x}{2})[/$]<div><br /></div><div>[$]tan(x) = {{c1::\frac{2t}{1-t^2} }}[/$]</div>",
"<div>[$]\forall (z_1, z_2) \in \mathbb{C}^2, \; \forall (a,b,c) \in \mathbb{C}^3[/$],&nbsp;</div><div><br /></div><div>z<sub>1&nbsp;</sub>et z<sub>2</sub>&nbsp;sont solutions de&nbsp;az<sup>2</sup>+bz+c=0 si et seulement si &nbsp;{{c1::[$]z_1 + z_2 = - \frac{b}{a} \; et \; z_1z_2 = \frac{c}{a}[/$]}}</div>",
"<div>[$]\forall (z, \omega) \in \mathbb{C}^2, \; z^n = \omega \Leftrightarrow {{c1::\exists k \in Z, \; z = \sqrt[n]{|\omega |} e^{i(\frac{2k\pi + \theta}{n})} }}[/$]</div>",[$]\theta[/$] argument de [$]\omega[/$]
"<div>[$]\forall (z, \omega) \in \mathbb{C}^2[/$] et [$]\zeta[/$] une racine n-ièmme de [$]\omega[/$],&nbsp;</div><div><br /></div><div>[$]z^n = \omega \Leftrightarrow {{c1::\exists k \in &nbsp;[\![ 0; n-1 ]\!], \; z = \zeta e^{\frac{2ik\pi}{n} } }}[/$]</div>",
[$]j = {{c1::e^{\frac{2i \pi}{3} } }}[/$],
[$]\overline{j} = {{c1::&nbsp;j^2 = e^{\frac{-2i \pi }{3} } }}[/$],
1 + j + j<sup>2</sup>&nbsp;= {{c1::0}},
"<div>On note g l'affixe de G et a<sub>k</sub>&nbsp;l'affixe de A<sub>k</sub></div><div><br /></div><div>[$]G = bar ((A_1, \lambda_1), ..., (A_n, \lambda_n)) \Leftrightarrow g = {{c1::\frac{\lambda_1 a_1 + ... + \lambda_n a_n }{ \sum_{k=1}^n \lambda_k } }}&nbsp;[/$]</div>",
"<div>a affixe de A, b affixe de B, c affixe de C.&nbsp;</div><div><br /></div><div>[$](\overrightarrow{AB},&nbsp;\overrightarrow{AC}) \equiv {{c1::arg(\frac{c-a}{b-a}) [2\pi]}}[/$]</div>",
Homotéthie de centre [$]\Omega[/$]&nbsp;et de rapport k ( [$]\overrightarrow{\Omega M'} = k \overrightarrow{\Omega M}[/$] )&nbsp;<div><br /></div><div>[$]z' = {{c1::k(z-\omega) + \omega}}[/$]</div>,<div><br /></div>
"Rotation de centre [$]\Omega[/$]&nbsp;et d'angle [$]\theta[/$] &nbsp;(&nbsp;[$](\overrightarrow{\Omega M},&nbsp;\overrightarrow{\Omega M'}) \equiv \theta [2 \pi][/$] )<div><br /></div><div>[$]z' = {{c1::e^{i\theta}(z- \omega) + \omega}}[/$]</div>",
"<u>Définition similitude du plan&nbsp;</u><div><br /></div><div>Application du plan P dans lui même qui admet une représentation complexe de la forme :&nbsp;</div><div><br /></div><div>[$]s: z \to {{c1::pz + q, \; p \in \mathbb{C}^*, \; q \in \mathbb{C} }}[/$]</div>",
"Soit [$]s: z \to pz + q, \; p \in \mathbb{C}^*, \; q \in \mathbb{C}[/$]&nbsp;une similitude directe du plan.&nbsp;<div><br /></div><div><br />s est une translation si et seulement si {{c1::&nbsp;p= 1}}</div>",
"Soit&nbsp;[$]s: z \to pz + q, \; p \in \mathbb{C}^*, \; q \in \mathbb{C}[/$]&nbsp;une similitude directe du plan.&nbsp;<div><br />{{c1::s admet un point fixe}} si et seulement si {{c2::[$]p \neq 1 \; ou \; (p=1 \; et\; q=0)&nbsp;[/$]}}</div>",
"Soit&nbsp;[$]s: z \to pz + q, \; p \in \mathbb{C}^*, \; q \in \mathbb{C}[/$]&nbsp;une similitude directe du plan.&nbsp;<div><br />{{c1::s admet un point fixe}} si et seulement si {{c2::[$]p \neq 1 \; ou \; (p=1 \; et\; q=0)&nbsp;[/$]}}</div>",
"Soit&nbsp;[$]s: z \to pz + q, \; p \in \mathbb{C}^*, \; q \in \mathbb{C}[/$]&nbsp;une similitude directe du plan.&nbsp;<div><br />affixe de l'unique point fixe de &nbsp;s &nbsp;:&nbsp;</div><div><br /></div><div>[$]\omega = {{c1::\frac{q}{1-p} }}[/$]<div><br /></div></div>",
"Similitude directe de centre [$]\Omega(\omega)[/$], de rapport k et d'angle&nbsp;[$]\theta&nbsp;[/$]<div><br /></div><div>[$]\forall z \in \mathbb{C}, \; s(z) = {{c1::k e^{i\theta}(z-\omega) + \omega}}[/$]</div>",
"<div>[$]\forall (z_1, z_2) \in \mathbb{C}^2, \; |z_1 - z_2| \geq {{c1::| \; |z_1| - |z_2| \; |}}[/$]</div>",
"[$]\forall (\theta_1, \theta_2) \in \mathbb{R}^2, e^{i \theta_1} + e^{i \theta_2} = {{c1::2cos( \frac{ \theta_1 - \theta_2 }{2}) e^{i \frac{\theta_1 + \theta_2 }{2} } }}[/$]",
"<div>[$]\forall (\theta_1, \theta_2) \in \mathbb{R}^2, e^{i \theta_1} - e^{i \theta_2} = {{c1::2i sin( \frac{ \theta_1 - \theta_2 }{2}) e^{i \frac{\theta_1 + \theta_2 }{2} } }}[/$]</div>",
"<u>Racines n-ièmes de l'unité&nbsp;</u><div><br /></div><div>[$]\mathbb{U}_n : {{c1::\{ z_k = e^{\frac{2 i k \pi}{n} }, \; k \in \mathbb{Z} \} }}[/$]</div>",
<div>[$]z \in \mathbb{U}_n \Leftrightarrow 1 + z + z^2 + ... z^{n-1} = {{c1::0}}[/$]</div>,
"En coordonnées cartésiennes,&nbsp;[$]\overrightarrow{u}.\overrightarrow{v} = {{c1::xx' + yy'}} [/$]",
"[$]\overrightarrow{u}.\overrightarrow{v} = {{c1::||&nbsp;\overrightarrow{u} || \; ||&nbsp;\overrightarrow{v} || cos(\overrightarrow{u},\overrightarrow{v})}}&nbsp;[/$]&nbsp;en fonction de l'angle [$](\overrightarrow{u},\overrightarrow{v})&nbsp;[/$]",
<u>Définition du produit scalaire</u><div><u><br /></u></div><div>[$]\overrightarrow{u}.\overrightarrow{v} = {{c1::\frac{ ||&nbsp;\overrightarrow{u} +&nbsp;\overrightarrow{v} ||^2 - ||&nbsp;\overrightarrow{u} ||^2 - ||&nbsp;\overrightarrow{v} ||^2 }{2} }}[/$]</div>,
[$]\overrightarrow{u}.\overrightarrow{u} = {{c1::||&nbsp;\overrightarrow{u} ||^2}}[/$],
"<u>Formules de changement de ROND</u>&nbsp;<div><br /></div><div>Soit O'(a,b) la nouvelle origine et [$]\overrightarrow{i'} = cos(\theta)\overrightarrow{i} + sin(\theta)\overrightarrow{j}[/$]</div><div><br /></div><div>[$]x = {{c1::a + cos(\theta)x' - sin(\theta)y'}}[/$]</div><div><br /></div><div>[$]y= {{c1::b + sin(\theta)x' + cos(\theta)y'}}[/$]</div>",
"<u>Définition déterminant (géométrie du plan)</u><div><br /></div><div>[$]Det(\overrightarrow{u},\overrightarrow{v} ) = {{c1::|| \overrightarrow{u} || \;&nbsp;\overrightarrow{v} || sin(\overrightarrow{u},\overrightarrow{v})}}[/$]</div>",
"<div>[$]Det(\overrightarrow{u},\overrightarrow{v}) = 0 \Leftrightarrow [/$] {{c1:: [$]\overrightarrow{u}[/$] et&nbsp;[$]\overrightarrow{v}[/$] sont colinéaires}}</div>",
Identité de Lagrange&nbsp;,"<div>[$](\overrightarrow{u}.\overrightarrow{v})^2 + Det(\overrightarrow{u},\overrightarrow{v})^2 = ||&nbsp;\overrightarrow{u} ||^2 \; ||&nbsp;\overrightarrow{v} || ^2[/$]</div>"
"<u>Equation paramétrique d'une droite&nbsp;</u><div><u><br /></u></div><div>Soit D une droite dirigée par [$]\overrightarrow{u}&nbsp;\begin{pmatrix}a &nbsp;\\ b \end{pmatrix}&nbsp;[/$] et A (x<sub>A</sub>,y<sub>A</sub>) appartenant à D.</div><div><br /></div><div>[$] M(x,y) \in D \quad \Leftrightarrow \quad &nbsp;{{c1::\exists t \in \mathbb{R}, \; x = x_A + ta \; et \; y = y_A + tb}}[/$]</div>",
D: ax+by+c est dirigée par le vecteur ?&nbsp;,[$]&nbsp;\overrightarrow{u} \begin{pmatrix}-b &nbsp;\\ a \end{pmatrix} [/$]
Vecteur normal à D: ax+by+c=0 ?,[$]&nbsp;\overrightarrow{u} \begin{pmatrix}a &nbsp;\\ b \end{pmatrix} [/$]
Equation cartésienne d'une droite dans le plan&nbsp;,"D: ax+by+c = 0 avec (a,b) [$]\neq[/$]&nbsp;(0,0)"
"<u>Equation polaire d'une droite</u>&nbsp;<div><br /></div><div>Soit |p| la distance entre 0 et D, et [$]\theta_0[/$] un vecteur normal à D,&nbsp;</div><div><br /></div><div>[$]{{c1::rcos(\theta - \theta_0)}} = {{c1::p&nbsp;}}[/$]</div>",
"<u>Distance d'un point à une droite dans un plan</u><div><br /></div><div>Soit D : ax + by + c = 0, [$]\overrightarrow{n}[/$] un vecteur normal à D et A appartenant à D.</div><div><br /></div><div>[$]d(M,D) = {{c1::\frac{ | \overrightarrow{AM}.\overrightarrow{n} |}{ ||&nbsp;\overrightarrow{n} || } = \frac{ |ax + by + c| }{ \sqrt{a^2 + b^2} } }}[/$]</div>",
"<u>Equation cartésienne d'un cercle</u><div><u><br /></u></div><div>Soit R le rayon du cercle,</div><div><br /></div><div>{{c1::x² + y² - 2ax - 2by + c}} = {{c1::0}} &nbsp;</div>",avec c = a² +b² - R²
"<u>Equation polaire d'un cercle</u><div><u><br /></u></div><div>Soit R le rayon du cercle, [$]\Omega[/$] le centre du cercle avec [$]\overrightarrow{u} (\theta_0)[/$] un vecteur colinéaire à [$]\overrightarrow{O\Omega}[/$]</div><div><br /></div><div>[$]{{c1::r}} = {{c1::2Rcos(\theta - \theta_0)}}[/$]</div>",
Deux cercles C<sub>1 </sub>et C<sub>2 </sub>de centres [$]\Omega_1[/$] et [$]\Omega_2[/$] et de rayon R<sub>1</sub>&nbsp;et R<sub>2&nbsp;</sub>sont tangeants si et seulement si&nbsp;<div><br /></div><div>[$] {{c1::\Omega_1 \Omega_2 = R_1 + R_2}} \; ou \; {{c1::\Omega_1 \Omega_2 = | R_1 - R_2 |}}&nbsp;[/$]</div>,
Deux cercles C<sub>1&nbsp;</sub>et C<sub>2&nbsp;</sub>de centres [$]\Omega_1[/$] et [$]\Omega_2[/$] et de rayon R<sub>1</sub>&nbsp;et R<sub>2&nbsp;</sub>sont sécants si et seulement si&nbsp;<div><br /></div><div>[$] &nbsp;{{c1::| R_1 - R_2 | &lt; \Omega_1 \Omega_2 &lt; R_1 + R_2}} [/$]</div>,
"<u>Interprétation géométrique du déterminant</u><div><br /><div>[$]Det(\overrightarrow{u},\overrightarrow{v}&nbsp;)[/$]&nbsp;est l'aire {{c1::du parrallélograme construit avec les vecteurs&nbsp;[$]( \overrightarrow{u} ,&nbsp;\overrightarrow{v}) [/$]}}</div></div>",
"<u>Définition produit vectoriel</u><div><br /></div><div>[$]\overrightarrow{u}&nbsp;\wedge&nbsp;\overrightarrow{v} = {{c1::Det(\overrightarrow{u},\overrightarrow{v})\overrightarrow{k} }}[/$]</div><div><br /></div><div>avec {{c1::[$]&nbsp;\overrightarrow{k}[/$] un vecteur unitaire normal au plan de direction contenant celles de[$]&nbsp;\overrightarrow{u}[/$] et&nbsp;[$]\overrightarrow{v}[/$]}}</div>",
"Définition determinant de&nbsp;<img src=""render (188).png"" />","Det<img src=""render (188).png"" />&nbsp;=&nbsp;<img src=""render (187).png"" />.<img src=""render (190).png"" />"
Equation de plan dans l'espace ,"ax + by + cz + d = 0 avec (a,b,c) différent de (0,0,0)"
Equation d'une sphère,"(x-a)² + (y-b)² + (z-c)² = R² avec C(a,b,c) le centre du cercle"
Vecteur normal au plan ax + by + cz + d = 0,[$]\overrightarrow{n}\left(\begin{array}{c}a\\ b\\c\end{array}\right)[/$]
Distance entre deux droites de l'espace,"[$]\frac{Det( \overrightarrow{HH'} ,\overrightarrow{u},\overrightarrow{u'})|}{||\overrightarrow{u} \wedge \overrightarrow{u'}||}[/$]"
"Si E,F,G et H sont quatres ensembles, et {{c1::f : E [$]\longrightarrow[/$] F, g : F[$]&nbsp;\longrightarrow[/$] &nbsp;G et h: G [$]\longrightarrow[/$] H}}, alors (hog)of = ho(gof)",
"<div><u>Définition de l'injectivité</u></div><div><br /></div>Soit E et F deux ensembles, on dit que f: E [$] &nbsp;\longrightarrow [/$]F est injective si &nbsp;{{c1:: &nbsp;[$]\forall(x,y) \in E^{2}, x \neq y &nbsp; \Longrightarrow &nbsp;f(x) \neq f(y)[/$] }}",
"<div><u>Caractérisation 1 de l'injectivité</u></div><div><br /></div>Soit E et F deux ensembles, on dit que f: E [$] &nbsp; \longrightarrow [/$] F est injective si et seulement si {{c1::&nbsp;[$] \forall(x,y) \in E^{2}, f(x) = f(y) \Longrightarrow x = y &nbsp;&nbsp;&nbsp;[/$]}}",
"Soit E, F et G trois ensembles. Si&nbsp;{{c1::f: E [$] &nbsp;\longrightarrow [/$] F et&nbsp;g: F [$] &nbsp;\longrightarrow [/$] G sont injectives}}, alors gof: E [$] &nbsp;\longrightarrow [/$] G est injective",
<div><u>Caractérisation de l'injectivité 2&nbsp;</u></div><div><br /></div>Soit E et F deux ensembles et f: E [$] \longrightarrow[/$] F. f est injective si et seulement si {{c1::tout élément de F possède au plus un antécédent par l'application f}},
"Soit E et F deux ensembles, si&nbsp;f: E [$] \longrightarrow [/$] F alors {{c1::f est injective}} si et seulement si tout élément de F possède au plus un antécédent par l'application f",
"<div><u>Définition de la surjectivité</u></div><div><br /></div>Soit E et F deux ensembles, &nbsp;f: E [$] &nbsp;\longrightarrow [/$] F est surjective si&nbsp;&nbsp;{{c1::[$]\forall(y) \in F, &nbsp;\exists x \in E, &nbsp; y=f(x)[/$]}}",
<div><u>caractérisation de la surjectivité 1</u></div><div><br /></div>Soit E et F deux ensembles.&nbsp;f: E [$] &nbsp;\longrightarrow [/$]F est surjective si et seulement si {{c1::tout élément de F possède au moins un antécédent par f dans E}},
"Soit E, F et G trois ensembles. {{c1::Si&nbsp;f: E [$] &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; \longrightarrow [/$] F et&nbsp;g: F [$] &nbsp; \longrightarrow [/$] G sont surjectives,}}&nbsp;<div>alors &nbsp;gof: E [$] &nbsp; \longrightarrow [/$] G est surjective</div>",
"Soit E et F deux ensembles, on dit que&nbsp;f: E [$] \longrightarrow [/$] F est bijective si elle est injective et surjective, c'est à dire si&nbsp;&nbsp;{{c1::[$]\forall(y) \in F, &nbsp;\exists! x \in E, &nbsp; y=f(x)[/$]}}",
"Soit E et F deux ensembles, {{c1::si&nbsp;f: E [$] &nbsp;\longrightarrow [/$] F est bijective}}, alors il existe une unique application de F dans E notée f<sup>-1</sup>&nbsp;tel que fof<sup>-1</sup>&nbsp;= Id<sub>E </sub>et&nbsp;f<sup>-1</sup>of = ID<sub>F</sub>. De plus,&nbsp;f<sup>-1</sup>&nbsp;est bijective et est appelée réciproque de f",
"Soit E et F deux ensembles, si&nbsp;f: E [$] &nbsp;\longrightarrow [/$] F est bijective, alors il existe une unique application de F dans E notée f<sup>-1</sup>&nbsp;tel que {{c1::fof<sup>-1</sup>&nbsp;= Id<sub>F&nbsp;</sub>et&nbsp;f<sup>-1</sup>of = Id<sub>E</sub>.}}&nbsp;De plus,&nbsp;f<sup>-1</sup>&nbsp;est bijective et est appelée réciproque de f",
"Soit E, F et G trois ensembles, {{c2::Si&nbsp;f: E [$] &nbsp;\longrightarrow [/$] F et&nbsp;g: F [$] &nbsp;\longrightarrow [/$] G sont bijectives,}} alors&nbsp;gof: E [$] &nbsp; \longrightarrow [/$] G est bijective et (gof)<sup>-1</sup>={{c1::<sup>&nbsp;</sup>f<sup>-1</sup>og<sup>-1</sup>}}",
"Soit E, F et G trois ensembles, {{c2::Si&nbsp;f: E [$] &nbsp;\longrightarrow [/$] F et&nbsp;g: F [$] &nbsp;\longrightarrow [/$] G sont bijectives,}} alors&nbsp;gof: E [$] &nbsp; \longrightarrow [/$] G est bijective et (gof)<sup>-1</sup>={{c1::<sup>&nbsp;</sup>f<sup>-1</sup>og<sup>-1</sup>}}",
"Si [$]A \subset E[/$] et&nbsp;f: E [$] &nbsp; \longrightarrow [/$] F, on appelle {{c1::image directe de A par f}} la partie de F définie par &nbsp;<br />{{c2::f(A) = { f(x), x [$] \in [/$] A}.}}<div><br /></div><div>Autrement dit, si [$]y \in F[/$], [$]y \in f(A)[/$] si et seulement si&nbsp;{{c3::[$]\exists x \in A, &nbsp; y=f(x)[/$]}}</div>",
"Si [$]A \subset E[/$] et&nbsp;f: E [$] &nbsp; \longrightarrow [/$] F, on appelle {{c1::image directe de A par f}} la partie de F définie par &nbsp;<br />{{c2::f(A) = { f(x), x [$] \in [/$] A}.}}<div><br /></div><div>Autrement dit, si [$]y \in F[/$], [$]y \in f(A)[/$] si et seulement si&nbsp;{{c3::[$]\exists x \in A, &nbsp; y=f(x)[/$]}}</div>",
"Si [$]A \subset E[/$] et&nbsp;f: E [$] &nbsp; \longrightarrow [/$] F, on appelle {{c1::image directe de A par f}} la partie de F définie par &nbsp;<br />{{c2::f(A) = { f(x), x [$] \in [/$] A}.}}<div><br /></div><div>Autrement dit, si [$]y \in F[/$], [$]y \in f(A)[/$] si et seulement si&nbsp;{{c3::[$]\exists x \in A, &nbsp; y=f(x)[/$]}}</div>",
"Si B [$] \subset [/$] F et&nbsp;f: E [$] &nbsp; \longrightarrow [/$] F, on appelle {{c1::image réciproque de B par f}} la partie de E définie par &nbsp;<br />{{c2::f<sup>-1</sup>(B) = { x [$] \in [/$] E, f(x) [$] \in [/$] B }.}}<div><br /></div><div>Autrement dit, si x [$] \in [/$] E, x&nbsp;[$] \in [/$] f<sup>-1</sup>(B) si et seulement si&nbsp;{{c3::[$] f(x) \in B[/$]}}</div>",
"Si B [$] \subset [/$] F et&nbsp;f: E [$] &nbsp; \longrightarrow [/$] F, on appelle {{c1::image réciproque de B par f}} la partie de E définie par &nbsp;<br />{{c2::f<sup>-1</sup>(B) = { x [$] \in [/$] E, f(x) [$] \in [/$] B }.}}<div><br /></div><div>Autrement dit, si x [$] \in [/$] E, x&nbsp;[$] \in [/$] f<sup>-1</sup>(B) si et seulement si&nbsp;{{c3::[$] f(x) \in B[/$]}}</div>",
"Si B [$] \subset [/$] F et&nbsp;f: E [$] &nbsp; \longrightarrow [/$] F, on appelle {{c1::image réciproque de B par f}} la partie de E définie par &nbsp;<br />{{c2::f<sup>-1</sup>(B) = { x [$] \in [/$] E, f(x) [$] \in [/$] B }.}}<div><br /></div><div>Autrement dit, si x [$] \in [/$] E, x&nbsp;[$] \in [/$] f<sup>-1</sup>(B) si et seulement si&nbsp;{{c3::[$] f(x) \in B[/$]}}</div>",
<div><u>Caractérisation de la surjectivité 2</u></div><div><br /></div>Soit&nbsp;f: E [$] &nbsp;\longrightarrow [/$] F. f est surjective si et seulement si {{c1::f(E) = F}},
"[$] \forall(A,B) \in P(E)^{2}[/$], f(AuB) = f(A)uf(B) si&nbsp;{{c1::pas de condition}}",
"[$]\forall(A,B) \in P(E)^{2}A\subset B \Longrightarrow f(A) \subset f(B) [/$] si&nbsp;{{c1::pas de condition}}",
"[$] \forall(A,B) \in P(E)^{2}[/$], f(AnB) = f(A)nf(B) si&nbsp;{{c1::f est injective}}",
"[$]\forall(A,B) \in P(E)^{2}, A \subset B \Longrightarrow f^{-1}(A) \subset f^{-1}(B) [/$]<div>&nbsp;si&nbsp;{{c1::pas de condition}}</div>",
"[$] \forall(A,B) \in P(E)^{2}[/$], f<sup>-1</sup>(AuB) = f<sup>-1</sup>(A)uf<sup>-1</sup>(B) si&nbsp;{{c1::pas de condition}}",
"[$] \forall(A,B) \in P(E)^{2}[/$],<br><br> f<sup>-1</sup>(AnB) = f<sup>-1</sup>(A)nf<sup>-1</sup>(B) si&nbsp;{{c1::pas de condition}}",
"Soit {{c1::F = (X<sub>i</sub>)<sub>i [$] \in[/$] I</sub> une famille de parties de E indéxée par I}}.<br />On dit que F est {{c2::une partition de E}} si<div>1:{{c3::[$] \cup[/$]&nbsp;<sub>i [$] \in[/$] I </sub>X<sub>i</sub>&nbsp;= E}}</div><div>2: {{c4::[$]\forall(i,j) \in I^{2} i &nbsp;\neq j &nbsp;\Longrightarrow &nbsp;X_{i} \cup X_{j} = &nbsp;\phi &nbsp;[/$]}}</div>",
"Soit {{c1::F = (X<sub>i</sub>)<sub>i [$] \in[/$] I</sub> une famille de parties de E indéxée par I}}.<br />On dit que F est {{c2::une partition de E}} si<div>1:{{c3::[$] \cup[/$]&nbsp;<sub>i [$] \in[/$] I </sub>X<sub>i</sub>&nbsp;= E}}</div><div>2: {{c4::[$]\forall(i,j) \in I^{2} i &nbsp;\neq j &nbsp;\Longrightarrow &nbsp;X_{i} \cup X_{j} = &nbsp;\phi &nbsp;[/$]}}</div>",
"Soit {{c1::F = (X<sub>i</sub>)<sub>i [$] \in[/$] I</sub> une famille de parties de E indéxée par I}}.<br />On dit que F est {{c2::une partition de E}} si<div>1:{{c3::[$] \cup[/$]&nbsp;<sub>i [$] \in[/$] I </sub>X<sub>i</sub>&nbsp;= E}}</div><div>2: {{c4::[$]\forall(i,j) \in I^{2} i &nbsp;\neq j &nbsp;\Longrightarrow &nbsp;X_{i} \cup X_{j} = &nbsp;\phi &nbsp;[/$]}}</div>",
"Soit {{c1::F = (X<sub>i</sub>)<sub>i [$] \in[/$] I</sub> une famille de parties de E indéxée par I}}.<br />On dit que F est {{c2::une partition de E}} si<div>1:{{c3::[$] \cup[/$]&nbsp;<sub>i [$] \in[/$] I </sub>X<sub>i</sub>&nbsp;= E}}</div><div>2: {{c4::[$]\forall(i,j) \in I^{2} i &nbsp;\neq j &nbsp;\Longrightarrow &nbsp;X_{i} \cup X_{j} = &nbsp;\phi &nbsp;[/$]}}</div>",
"Soit (E,T) un ensemble muni d'une loi de composition interne, on dit que e [$]\in[/$] E est élément neutre pour T si &nbsp;{{c1::[$]\forall(x) \in E[/$], &nbsp;xTe = eTx = x}}",
"Soit (E,T) un ensemble muni d'une loi de composition interne, on dit que T est commutative si &nbsp;{{c1::[$]\forall(x,y) \in E^{2}[/$] xTy = yTx}}",
"Soit (E,T) un ensemble muni d'une loi de composition interne, on dit queT est associative si &nbsp;{{c1::[$]\forall(x,y,z) \in E^{3}[/$] (xTy)Tz = xT(yTz)}}",
